position,text_of_post
non-toxic,"Why do you keep posting an opinion piece written by a blathering idiot?  By the way, I'm not a pot head.  I prefer scotch.  The only reason that you see more people who do hard drugs have also used marijuana is that it is illegal.  That is the draw for some people.  Make it legal and it looses some of its luster.  Why do you suppose that many people that abuse alcohol also abuse prescription medication?  Is alcohol a gate way to pill popping?  I's exercise a gateway to steroids?"
non-toxic,"are you ILLITERATE, chuck?"
toxic,"Turn off the 'boob tube' and the blaring will stop. Put down the hooch and go do something productive and/or enjoyable(constant moaning about the state of the world accomplishes nothing). We generally create our own realities through our (in)actions(""Fat, drunk and stupid is no way to go through life, son."" -Dean Wormer)."
toxic,"No description of the perps so they must be black.

Half of media bias is what they omit."
toxic,"GW Bush did a years-long investigation under the Dept. of Justice and found effectively NO voter fraud. It cost a lot of money, and the Republican AG really thought he would find fraud, but it wasn't there. Do you think this investigation needs to be repeated every ten years, like the census? Just to keep the crazies happy? They won't buy the results anyway because they are SURE that DJ Trump is right about the three million illegals voting for Hillary. Garbage! Stupid people have stupid ideas, and the facts won't change their stupid minds."
toxic,What a ridiculous pile of bullshit.
toxic,"A good editorial that can be boiled down to one phrase made by Bill Clinton strategist, J Carville- ""It's the economy stupid""."
non-toxic,Spend money to save money.  Sounds like a damned TV commercial.
non-toxic,Obama has been an unmitigated disaster. The country cannot afford another one. Hillary is another one.
non-toxic,"""At this point, f*** you all,"" Ms. Khan responded. ""I stand by the motion I put forward. I stand by Indigenous students. … Be proud of this country? For what, over 400 years of genocide?"" She signed off with the hashtags #unlearn150, #whitefragilitycankissmyass and #yourwhitetearsarentsacredthislandis.""(c)
~ ~
What can be said about this ignorant woman... & the fact that she is using 'Indigenous' as a slick byline in order to spew her maladroit, racist garbage which can not get any more pathetic than her 'Look at me -- Look at me' superiority complex?

How this chick is being taken seriously* is simply beyond the pale.

There are many Indigenous Canadian Citizens who do not buy into this phony use of them to promote the 'Reba/Usery-Like-Agenda' of this ever-so-holy woman with the foul mouth.

Regardless of how the discussion of 'Cdn Indigenous Peoples' has been framed by the 'empty barrel' selfie-eager PM, JT, a great preponderance of the Cdn People love our Indigenous Cdns... Always."
non-toxic,Now you have a reason for that security detail. Suck on that bitch
non-toxic,Protesters are idiots and whiners- most don't know the facts and have nothig better to do - most are millenial pussies and clint correctly refers them - would they rather see another attack? They don't even know why they are there - kind of like publc workers and teachers
toxic,"Typical liberal response, anyone who has a different opinion is uneducated. Also the typical response of a coward, don't get face to face when you can throw insults from across the web."
non-toxic,"Re: ""The size of Inaugural crowds means nothing.""

Clearly (aka OBSERVABLY) it ""matters"" a great deal - to T-rump himself. HE is the one lying about it to try and bolster his own petulant, insatiable ego.

It seems that it is Trumplethinskin who is ""so arrogant"" as to NOT ""believe the truth"". Him and his Lugenvolksters."
toxic,"SB 21 is the cause of the budget crisis?  No, a decade of bi-partisan raiding of the bank is the cause.  A bunch of fools on the left and right who thought that oil-prices would never drop."
toxic,"ABSOLUTELY  pathetic, or, as Sheriff Andy Taylor of Mayberry would say: ""PITIFUL!""  The exaltation of recreational drug use is not progressive enlightenment, it's regressive individual and cultural stupidity.
From the time I was in high school in the '70s, people who used marijuana were LOSERS, potheads, dopers, now stoners and the like.  They were teenage losers then.  They are aging losers now, especially if getting high with their children is considered good in any way.  It's no wonder the city, state and country are in the sad state they are, with this kind of pathetic nonsense considered in a positive way.
Just one more time for emphasis: if you use marijuana recreationally, YOU ARE A LOSER>"
non-toxic,"Pro lifers have assassinated doctors
Christians are the terrorists"
toxic,"And I really hope a reporter has the stones to ask Donnie Two Scoops if he's afraid to call out ONLY the derplorables because he is concerned his support will erode even further?

Playing the BothSiderist card in this cagey manner only fuels the fire raging on the right. Trump is a fool if he thinks he'd be able to contain that if they got out of control. They would likely come for his family for being ""race traitors"", and even him for not being sufficiently purist to their stupid knuckle dragging ""cause"". 


Sidling up to murderous people with thoughts of terrorism on their minds will not have good outcomes."
non-toxic,"You sound like a man whose brain is filled with rock!!!  LOLOL  ""rimrock' what a perfect name for you!
your parent must be filled with rock to name their son 'rimrock', pathetic!!!"
non-toxic,"""You are being sexist, Margaret...""
I agree and with comments like 
"" “dark” personality traits... far more common in men"" and
""more men ... are hardwired to be twisted losers""
the whole article feels to me like one big troll."
non-toxic,"The penis (alleged) touching allegedly happened almost 50 years ago, only to ""go public"" just before an election of the man allegedly charged with such action. Interesting timing."
toxic,"This premise of this article is sexist. I'm disappointed, these old tropes (""How will she manage work and family?"") are tired, unoriginal, and Catherine McKenna deserves so much more."
